timestamp,temperature,humidity,moisture
1783186527729,28.5,54.0,95
1783186537744,28.4,53.0,96
1783186547755,28.3,54.0,94
1783186557769,28.3,54.0,95
1783186567781,28.3,53.0,94
1783186577794,28.2,53.0,93
1783186587807,28.3,53.0,95
1783186597823,28.3,53.0,95
1783186607836,28.4,54.0,95
1783186617847,28.2,54.0,93
1783186627862,28.3,54.0,94
1783186637876,28.4,54.0,95
1783186647888,28.5,53.0,94
1783186657900,28.4,53.0,94
1783186667915,28.3,53.0,95
1783186677928,28.5,53.0,94
1783186687942,28.3,53.0,94
1783186697952,28.3,53.0,93
1783186707967,28.3,53.0,93
1783186717981,28.4,53.0,95
1783186727996,28.3,53.0,94
1783186738007,28.3,53.0,94
1783186748020,28.3,53.0,93
1783186758034,28.2,53.0,93
1783186768048,28.2,54.0,94
1783186778064,28.0,54.0,95
1783186788076,28.2,54.0,95
1783186798087,28.2,54.0,93
1783186808103,28.2,54.0,94
1783186818114,28.0,54.0,94
