timestamp,temperature,humidity,moisture
1783183223325,29.4,52.0,94
1783183233339,29.4,52.0,94
1783183243352,29.4,52.0,93
1783183253368,29.4,52.0,93
1783183263383,29.4,52.0,94
1783183273392,29.3,52.0,95
1783183283405,29.4,52.0,94
1783183293420,29.3,52.0,95
1783183303432,29.4,52.0,94
1783183313446,29.3,52.0,95
1783183323459,29.4,52.0,95
1783183333474,29.5,52.0,93
1783183343491,29.3,52.0,93
1783183353499,29.5,52.0,94
1783183363515,29.4,52.0,95
1783183373530,29.2,52.0,93
1783183383539,29.4,52.0,94
1783183393553,29.2,52.0,94
1783183403574,29.3,52.0,94
1783183413580,29.3,53.0,93
1783183423593,29.3,53.0,94
1783183433607,29.4,52.0,94
1783183443621,29.1,53.0,93
1783183453633,29.4,53.0,93
1783183463650,29.3,52.0,94
1783183473661,29.3,53.0,94
1783183483672,29.2,53.0,93
1783183493687,29.1,53.0,95
1783183503699,29.1,53.0,94
1783183513714,29.0,53.0,93
