timestamp,temperature,humidity,moisture
1783185025725,29.0,53.0,94
1783185035737,28.9,51.0,94
1783185045751,28.9,52.0,93
1783185055765,28.9,52.0,94
1783185065779,28.9,52.0,94
1783185075791,28.8,52.0,95
1783185085804,28.8,52.0,94
1783185095819,28.7,53.0,95
1783185105830,28.9,53.0,95
1783185115843,28.6,53.0,94
1783185125857,28.4,53.0,94
1783185135871,28.6,53.0,94
1783185145883,28.5,53.0,95
1783185155899,28.5,53.0,94
1783185165910,28.6,53.0,94
1783185175923,28.5,53.0,95
1783185185937,28.5,53.0,92
1783185195950,28.6,53.0,94
1783185205964,28.5,53.0,93
1783185215979,28.7,53.0,95
1783185225992,28.6,53.0,94
1783185236003,28.6,53.0,94
1783185246018,28.5,52.0,94
1783185256030,28.8,53.0,95
1783185266044,28.6,52.0,94
1783185276057,28.7,52.0,94
1783185286071,28.9,52.0,95
1783185296086,28.8,52.0,94
1783185306099,28.9,52.0,95
1783185316111,28.8,52.0,93
