timestamp,temperature,humidity,moisture
1783183824124,29.2,53.0,95
1783183834136,29.2,53.0,95
1783183844150,29.0,53.0,93
1783183854163,29.0,53.0,94
1783183864177,29.2,53.0,95
1783183874192,29.1,53.0,94
1783183884202,29.0,53.0,95
1783183894215,29.1,53.0,94
1783183904230,28.9,52.0,94
1783183914244,29.0,53.0,94
1783183924257,29.1,53.0,94
1783183934271,29.1,53.0,95
1783183944282,29.0,53.0,95
1783183954296,29.1,53.0,93
1783183964309,29.1,53.0,93
1783183974322,29.4,53.0,94
1783183984335,28.9,52.0,94
1783183994348,28.9,52.0,94
1783184004364,29.1,53.0,93
1783184014375,29.1,53.0,93
1783184024389,29.0,53.0,93
1783184034401,29.0,53.0,94
1783184044416,29.0,53.0,95
1783184054432,29.2,53.0,94
1783184064444,28.9,52.0,93
1783184074456,29.0,53.0,93
1783184084468,29.0,53.0,94
1783184094482,28.9,52.0,94
1783184104496,28.8,52.0,94
1783184114509,29.0,53.0,94
