timestamp,temperature,humidity,moisture
1783184725324,28.6,53.0,95
1783184735341,28.8,53.0,96
1783184745352,28.6,53.0,94
1783184755364,28.5,53.0,95
1783184765383,28.4,54.0,95
1783184775391,28.3,54.0,94
1783184785413,28.5,54.0,94
1783184795423,28.6,54.0,94
1783184805431,28.5,54.0,95
1783184815446,28.4,54.0,94
1783184825464,28.5,54.0,95
1783184835472,28.7,53.0,93
1783184845487,28.5,53.0,94
1783184855500,28.7,53.0,93
1783184865513,28.6,52.0,93
1783184875527,28.7,52.0,94
1783184885539,28.8,52.0,94
1783184895554,28.8,53.0,94
1783184905570,28.8,53.0,95
1783184915583,28.8,53.0,95
1783184925596,29.0,53.0,94
1783184935606,29.0,53.0,94
1783184945619,29.1,52.0,94
1783184955633,29.0,53.0,94
1783184965652,29.0,53.0,94
1783184975662,29.0,52.0,93
1783184985671,29.0,52.0,94
1783184995686,29.2,53.0,94
1783185005699,29.1,52.0,95
1783185015712,29.1,53.0,93
