timestamp,temperature,humidity,moisture
1783184124525,29.0,53.0,95
1783184134535,29.0,53.0,95
1783184144551,28.9,52.0,93
1783184154564,28.9,52.0,93
1783184164577,29.0,53.0,95
1783184174590,28.8,52.0,94
1783184184607,28.9,52.0,95
1783184194616,28.9,52.0,93
1783184204632,28.9,52.0,93
1783184214644,28.9,52.0,94
1783184224659,28.9,53.0,94
1783184234670,28.8,52.0,94
1783184244685,29.0,53.0,95
1783184254697,29.0,53.0,94
1783184264711,29.1,53.0,95
1783184274723,29.0,53.0,95
1783184284738,29.0,53.0,94
1783184294757,28.9,52.0,93
1783184304771,29.1,53.0,94
1783184314777,28.9,52.0,95
1783184324791,28.9,52.0,94
1783184334807,28.9,53.0,95
1783184344819,28.9,53.0,94
1783184354831,28.7,52.0,95
1783184364844,28.6,52.0,94
1783184374859,28.8,52.0,94
1783184384874,28.8,52.0,94
1783184394885,28.8,52.0,94
1783184404901,29.0,53.0,94
1783184414912,28.9,52.0,94
