timestamp,temperature,humidity,moisture
1783186828127,28.2,54.0,94
1783186838140,28.2,54.0,94
1783186848153,28.1,54.0,95
1783186858167,28.2,53.0,94
1783186868184,28.3,53.0,95
1783186878193,28.0,53.0,93
1783186888207,28.2,54.0,94
1783186898221,28.2,54.0,94
1783186908233,28.2,54.0,96
1783186918245,28.0,54.0,93
1783186928262,28.0,54.0,95
1783186938274,28.2,54.0,94
1783186948286,28.0,54.0,94
1783186958309,28.2,54.0,95
1783186968313,28.1,54.0,94
1783186978325,28.1,54.0,94
1783186988339,28.0,54.0,93
1783186998352,28.2,54.0,94
1783187008366,28.0,54.0,93
1783187018380,28.1,54.0,96
1783187028396,28.0,54.0,95
1783187038405,28.2,54.0,94
1783187048420,28.2,54.0,94
1783187058433,28.0,54.0,93
1783187068447,27.9,53.0,94
1783187078459,27.9,53.0,95
1783187088473,27.9,54.0,95
1783187098486,27.9,54.0,94
1783187108499,27.8,54.0,94
1783187118513,27.9,54.0,95
