timestamp,temperature,humidity,moisture
1782742344446,33.0,30.0,31
1782742354460,32.6,30.0,30
1782742364472,32.8,30.0,33
1782742374487,32.8,30.0,31
1782742384497,32.8,30.0,31
1782742394511,32.7,29.0,33
1782742404524,32.9,29.0,31
1782742414537,32.9,29.0,30
1782742424551,32.8,29.0,30
1782742434564,32.8,29.0,31
1782742444581,32.8,29.0,31
1782742454590,32.6,29.0,31
1782742464605,32.9,30.0,31
1782742474620,32.8,30.0,30
1782742484632,32.8,29.0,29
1782742494645,33.0,31.0,31
1782742504658,32.9,30.0,30
1782742514669,33.1,31.0,31
1782742524683,32.9,30.0,31
1782742534697,32.9,30.0,30
1782742544712,32.9,30.0,33
1782742554723,32.9,30.0,30
1782742564736,33.0,31.0,30
1782742574751,33.0,31.0,32
1782742584764,33.2,31.0,29
1782742594778,33.0,31.0,32
1782742604790,32.8,30.0,30
1782742614802,33.0,31.0,30
1782742624816,33.0,31.0,32
1782742634828,33.0,31.0,33
