timestamp,temperature,humidity,moisture
1782743245646,32.8,29.0,33
1782743255657,32.8,29.0,32
1782743265685,32.7,30.0,32
1782743275682,32.6,30.0,31
1782743285696,32.8,30.0,31
1782743295709,32.8,30.0,31
1782743305721,32.8,30.0,32
1782743315737,32.6,30.0,32
1782743325749,32.9,30.0,33
1782743335767,32.7,30.0,30
1782743345776,33.0,31.0,29
1782743355787,32.8,30.0,30
1782743365801,33.0,31.0,33
1782743375816,32.9,30.0,33
1782743385828,33.0,30.0,33
1782743395841,33.0,30.0,33
1782743405857,33.0,30.0,33
1782743415870,33.0,30.0,32
1782743425882,33.0,30.0,32
1782743435896,33.0,30.0,30
1782743445909,33.0,31.0,32
1782743455923,33.0,30.0,32
1782743465936,32.9,29.0,31
1782743475949,33.0,31.0,33
1782743485963,32.7,30.0,31
1782743495976,32.9,30.0,32
1782743505991,32.7,30.0,32
1782743516002,32.8,29.0,33
1782743526016,32.8,29.0,32
1782743536028,32.7,29.0,32
