timestamp,temperature,humidity,moisture
1782402070816,30.9,30.0,33
1782402080830,31.0,32.0,33
1782402090841,31.0,31.0,34
1782402100855,30.9,30.0,33
1782402110872,30.9,30.0,32
1782402120882,31.1,32.0,31
1782402130893,31.0,32.0,33
1782402140908,31.1,31.0,30
1782402150922,31.1,31.0,31
1782402160934,31.2,31.0,31
1782402170947,31.1,31.0,32
1782402180961,31.3,31.0,32
1782402190977,31.0,31.0,34
1782402200990,31.1,31.0,31
1782402210999,31.0,32.0,30
1782402221020,31.0,32.0,32
1782402231026,31.0,32.0,33
1782402241040,31.0,31.0,32
1782402251056,31.0,31.0,32
1782402261069,31.3,31.0,33
1782402271083,31.1,31.0,32
1782402281096,31.0,32.0,31
1782402291109,31.2,32.0,33
1782402301121,31.1,32.0,33
1782402311133,31.1,32.0,31
1782402321146,31.2,32.0,32
1782402331161,31.0,32.0,34
1782402341173,31.0,32.0,35
1782402351192,31.1,32.0,33
1782402361202,31.0,33.0,31
