timestamp,temperature,humidity,moisture
1782742644843,33.0,31.0,32
1782742654858,33.3,31.0,31
1782742664867,33.3,31.0,30
1782742674880,33.3,31.0,29
1782742684895,33.1,31.0,33
1782742694909,33.0,31.0,31
1782742704920,33.3,31.0,31
1782742714934,33.3,31.0,31
1782742724948,33.2,31.0,32
1782742734960,33.3,31.0,32
1782742744976,33.0,31.0,32
1782742754990,33.3,31.0,30
1782742765001,33.1,30.0,32
1782742775017,33.2,30.0,31
1782742785030,33.4,30.0,33
1782742795042,33.3,30.0,31
1782742805055,33.2,31.0,31
1782742815074,33.0,31.0,31
1782742825082,33.1,30.0,30
1782742835094,33.3,31.0,31
1782742845108,33.4,31.0,30
1782742855126,33.3,30.0,33
1782742865136,33.0,30.0,33
1782742875148,33.3,30.0,30
1782742885161,33.1,30.0,30
1782742895176,33.2,31.0,33
1782742905192,33.3,31.0,29
1782742915203,33.3,31.0,33
1782742925218,33.2,31.0,33
1782742935232,33.3,30.0,32
