timestamp,temperature,humidity,moisture
1782402972025,30.8,31.0,33
1782402982039,30.8,31.0,32
1782402992051,30.8,31.0,33
1782403002067,31.0,32.0,32
1782403012080,30.8,31.0,33
1782403022091,30.8,31.0,32
1782403032105,30.8,31.0,32
1782403042119,30.8,31.0,31
1782403052131,30.9,31.0,32
1782403062150,30.8,31.0,31
1782403072160,30.8,32.0,33
1782403082173,30.7,32.0,33
1782403092186,30.7,32.0,34
1782403102200,30.9,32.0,33
1782403112213,30.8,32.0,34
1782403122225,30.8,32.0,33
1782403132238,30.6,32.0,32
1782403142253,30.6,32.0,33
1782403152266,30.7,32.0,35
1782403162278,30.7,32.0,31
1782403172291,30.6,31.0,28
1782403182305,30.7,32.0,31
1782403192320,30.7,31.0,31
1782403202334,30.8,31.0,34
1782403212352,30.8,32.0,32
1782403222362,31.0,33.0,34
1782403232372,30.6,32.0,32
1782403242384,30.8,32.0,34
1782403252399,30.8,32.0,34
1782403262412,30.8,32.0,34
