timestamp,temperature,humidity,moisture
1782742945243,33.3,30.0,32
1782742955258,33.3,31.0,32
1782742965271,33.1,31.0,31
1782742975285,33.3,30.0,34
1782742985299,33.3,30.0,34
1782742995310,33.1,30.0,32
1782743005325,33.0,30.0,30
1782743015338,33.2,30.0,33
1782743025354,33.1,29.0,33
1782743035365,32.8,29.0,33
1782743045377,32.7,29.0,32
1782743055392,32.8,29.0,31
1782743065406,32.8,29.0,31
1782743075416,32.9,30.0,32
1782743085432,32.5,29.0,31
1782743095443,32.7,30.0,33
1782743105455,32.7,29.0,31
1782743115473,32.7,29.0,33
1782743125483,32.7,30.0,33
1782743135496,32.5,30.0,32
1782743145514,32.6,30.0,31
1782743155523,32.7,31.0,32
1782743165536,32.4,30.0,33
1782743175551,32.8,31.0,33
1782743185563,32.9,31.0,30
1782743195577,32.5,30.0,31
1782743205593,32.8,30.0,33
1782743215605,33.0,31.0,31
1782743225619,32.9,29.0,31
1782743235633,32.8,29.0,32
