timestamp,temperature,humidity,moisture
1782743546042,32.8,29.0,31
1782743556053,32.8,29.0,33
1782743566066,32.8,29.0,32
1782743576079,32.9,30.0,34
1782743586094,32.7,30.0,32
1782743596106,32.9,29.0,32
1782743606119,32.8,30.0,32
1782743616134,32.8,30.0,33
1782743626147,32.8,30.0,32
1782743636159,33.0,30.0,32
1782743646172,32.8,29.0,31
1782743656187,33.0,31.0,33
1782743666202,32.8,30.0,33
1782743676214,32.9,30.0,32
1782743686227,32.9,31.0,32
1782743696238,33.0,32.0,32
1782743706253,32.9,31.0,31
1782743716266,33.0,31.0,33
1782743726278,32.9,30.0,33
1782743736293,32.8,29.0,33
1782743746307,32.8,29.0,33
1782743756317,32.9,29.0,31
1782743766330,32.7,29.0,32
1782743776345,32.9,30.0,32
1782743786358,33.0,31.0,33
1782743796370,32.6,30.0,32
1782743806388,32.9,30.0,30
1782743816398,32.8,30.0,31
1782743826410,32.8,30.0,32
1782743836424,32.9,30.0,32
