timestamp,temperature,humidity,moisture
1782834740840,33.1,34.0,9
1782834750853,33.1,34.0,8
1782834760868,33.1,34.0,7
1782834770878,33.3,34.0,7
1782834780892,33.2,34.0,7
1782834790903,33.0,34.0,9
1782834800918,33.1,34.0,8
1782834810931,33.2,34.0,8
1782834820944,33.3,34.0,9
1782834830955,33.3,34.0,9
1782834840969,33.3,34.0,9
1782834850982,33.4,34.0,7
1782834860996,33.3,34.0,9
1782834871009,33.4,34.0,8
1782834881023,33.4,33.0,9
1782834891036,33.3,33.0,9
1782834901046,33.4,33.0,8
1782834911060,33.4,34.0,8
1782834921075,33.3,34.0,9
1782834931087,33.4,33.0,9
1782834941099,33.5,33.0,9
1782834951112,33.4,33.0,9
1782834961127,33.3,33.0,7
1782834971137,33.4,33.0,9
1782834981152,33.3,33.0,8
1782834991165,33.4,33.0,9
1782835001177,33.1,33.0,7
1782835011194,33.3,34.0,7
1782835021206,33.3,34.0,7
1782835031216,33.3,33.0,9
