timestamp,temperature,humidity,moisture
1782834440443,33.5,34.0,8
1782834450458,33.8,33.0,8
1782834460474,33.7,34.0,9
1782834470483,33.6,33.0,9
1782834480495,33.5,34.0,8
1782834490511,33.5,33.0,9
1782834500522,33.3,33.0,9
1782834510535,33.3,33.0,9
1782834520551,33.3,33.0,8
1782834530562,33.3,33.0,9
1782834540577,33.2,34.0,9
1782834550592,33.1,34.0,9
1782834560601,33.3,34.0,8
1782834570619,33.2,34.0,9
1782834580628,33.2,34.0,9
1782834590657,33.1,33.0,8
1782834600656,33.1,33.0,8
1782834610670,33.0,34.0,9
1782834620681,32.9,33.0,9
1782834630695,33.0,34.0,7
1782834640709,32.9,33.0,9
1782834650721,33.0,34.0,9
1782834660735,32.8,33.0,9
1782834670747,33.0,34.0,8
1782834680763,32.9,33.0,8
1782834690773,33.0,34.0,9
1782834700786,33.0,34.0,9
1782834710799,33.2,34.0,9
1782834720812,32.9,33.0,8
1782834730828,33.1,34.0,9
