timestamp,temperature,humidity,moisture
1782832638063,33.5,34.0,10
1782832648076,33.5,33.0,9
1782832658092,33.5,33.0,8
1782832668105,33.5,33.0,11
1782832678118,33.5,33.0,7
1782832688130,33.5,33.0,10
1782832698144,33.5,33.0,10
1782832708157,33.7,33.0,9
1782832718168,33.5,33.0,8
1782832728184,33.4,33.0,8
1782832738195,33.5,33.0,8
1782832748209,33.4,33.0,7
1782832758221,33.3,33.0,8
1782832768233,33.4,33.0,8
1782832778248,33.4,34.0,8
1782832788264,33.4,34.0,6
1782832798273,33.5,34.0,8
1782832808287,33.4,34.0,7
1782832818301,33.5,34.0,9
1782832828316,33.6,34.0,11
1782832838327,33.5,33.0,8
1782832848339,33.7,34.0,10
1782832858352,33.6,34.0,10
1782832868367,33.6,33.0,9
1782832878380,33.8,33.0,10
1782832888392,33.7,34.0,10
1782832898408,33.7,33.0,8
1782832908420,33.6,33.0,10
1782832918433,33.5,33.0,10
1782832928446,33.5,33.0,9
