timestamp,temperature,humidity,moisture
1782835041231,33.3,33.0,8
1782835051247,33.4,33.0,9
1782835061258,33.4,33.0,9
1782835071268,33.3,33.0,7
1782835081282,33.3,33.0,9
1782835091295,33.3,33.0,9
1782835101305,33.2,34.0,9
1782835111318,33.3,34.0,9
1782835121334,33.2,33.0,9
1782835131344,33.1,34.0,9
1782835141357,33.0,34.0,8
1782835151372,33.0,34.0,8
1782835161384,33.0,34.0,9
1782835171395,33.1,34.0,9
1782835181408,33.0,34.0,8
1782835191421,33.0,34.0,9
1782835201434,33.0,34.0,8
1782835211448,33.1,34.0,7
1782835221462,33.0,34.0,9
1782835231473,33.3,34.0,8
1782835241486,33.2,34.0,8
1782835251499,33.1,34.0,9
1782835261512,33.0,34.0,8
1782835271526,33.1,34.0,9
1782835281537,33.2,34.0,7
1782835291551,33.1,34.0,8
1782835301564,33.0,34.0,9
1782835311577,33.0,34.0,9
1782835321591,33.2,34.0,9
1782835331603,33.1,34.0,8
