timestamp,temperature,humidity,moisture
1782833539252,33.6,34.0,10
1782833549266,33.6,34.0,6
1782833559279,33.5,34.0,9
1782833569291,33.6,33.0,5
1782833579304,33.6,33.0,6
1782833589318,33.7,33.0,7
1782833599331,33.5,33.0,7
1782833609343,33.5,34.0,6
1782833619357,33.5,34.0,6
1782833629370,33.6,34.0,7
1782833639382,33.3,34.0,9
1782833649397,33.7,33.0,7
1782833659409,33.7,33.0,5
1782833669423,33.5,33.0,6
1782833679439,33.5,33.0,7
1782833689450,33.5,33.0,5
1782833699463,33.7,33.0,7
1782833709476,33.8,33.0,6
1782833719490,33.6,34.0,8
1782833729505,33.6,34.0,5
1782833739516,33.5,33.0,6
1782833749530,33.5,34.0,6
1782833759544,33.5,33.0,6
1782833769561,33.4,33.0,9
1782833779569,33.3,33.0,5
1782833789582,33.4,33.0,9
1782833799595,33.1,33.0,8
1782833809609,33.2,33.0,9
1782833819625,33.1,33.0,9
1782833829636,33.1,34.0,8
