timestamp,temperature,humidity,moisture
1782831736875,33.1,35.0,7
1782831746889,33.5,35.0,8
1782831756903,33.5,35.0,9
1782831766915,33.7,34.0,8
1782831776928,33.7,34.0,8
1782831786942,33.5,34.0,10
1782831796955,33.6,34.0,9
1782831806968,33.5,34.0,8
1782831816979,33.6,33.0,8
1782831826993,33.7,33.0,8
1782831837006,33.8,33.0,9
1782831847019,33.6,34.0,5
1782831857032,33.6,34.0,8
1782831867048,33.6,34.0,7
1782831877063,33.7,33.0,9
1782831887072,33.5,33.0,5
1782831897087,33.5,33.0,7
1782831907099,34.0,33.0,7
1782831917112,33.7,33.0,7
1782831927125,33.7,33.0,9
1782831937139,33.8,33.0,8
1782831947151,33.7,33.0,8
1782831957166,33.6,34.0,7
1782831967180,33.6,34.0,7
1782831977192,33.7,34.0,8
1782831987207,33.8,34.0,8
1782831997220,33.7,34.0,7
1782832007232,33.8,34.0,10
1782832017247,33.8,34.0,9
1782832027260,33.8,33.0,10
