timestamp,temperature,humidity,moisture
1782834140046,33.8,34.0,9
1782834150060,33.8,34.0,7
1782834160074,33.7,33.0,7
1782834170091,33.7,33.0,9
1782834180100,33.9,33.0,8
1782834190114,33.7,33.0,9
1782834200127,33.6,33.0,9
1782834210139,33.8,33.0,10
1782834220153,33.8,33.0,9
1782834230164,33.8,34.0,9
1782834240178,34.0,34.0,9
1782834250193,33.8,34.0,8
1782834260206,33.8,34.0,7
1782834270218,33.8,34.0,9
1782834280231,33.8,34.0,7
1782834290246,33.8,34.0,7
1782834300258,33.8,33.0,7
1782834310274,33.7,33.0,9
1782834320285,33.9,34.0,9
1782834330297,33.8,33.0,9
1782834340312,33.8,33.0,10
1782834350325,33.8,33.0,8
1782834360337,33.9,33.0,9
1782834370352,33.8,33.0,8
1782834380369,33.8,34.0,8
1782834390381,33.8,34.0,6
1782834400391,33.8,34.0,8
1782834410407,33.7,33.0,9
1782834420419,33.7,33.0,8
1782834430431,33.7,33.0,9
