timestamp,temperature,humidity,moisture
1782832938458,33.5,33.0,9
1782832948473,33.5,33.0,9
1782832958486,33.5,33.0,5
1782832968501,33.4,33.0,10
1782832978512,33.4,33.0,8
1782832988524,33.5,33.0,8
1782832998539,33.5,33.0,7
1782833008553,33.5,34.0,9
1782833018565,33.5,33.0,9
1782833028578,33.5,34.0,8
1782833038592,33.5,33.0,8
1782833048607,33.5,33.0,8
1782833058619,33.5,33.0,9
1782833068632,33.5,33.0,9
1782833078644,33.4,33.0,8
1782833088658,33.5,33.0,8
1782833098671,33.3,33.0,8
1782833108684,33.3,34.0,9
1782833118696,33.4,34.0,9
1782833128709,33.4,33.0,9
1782833138723,33.2,34.0,9
1782833148738,33.3,34.0,11
1782833158750,33.3,34.0,10
1782833168764,33.2,34.0,9
1782833178775,33.3,34.0,9
1782833188790,33.1,34.0,8
1782833198800,33.0,34.0,11
1782833208813,33.1,34.0,11
1782833218827,33.1,34.0,10
1782833228841,32.9,33.0,7
